name,birthday,nationality
Tom Hanks,1956-07-09,USA
Wagner Moura,1976-06-27,BRAZIL
Denzel Washington,1954-12-28,USA
Fernanda Montenegro,1929-10-16,BRAZIL
Leonardo DiCaprio,1974-11-11,USA
Gloria Pires,1963-08-23,BRAZIL
Brad Pitt,1963-12-18,USA
Julia Roberts,1967-10-28,USA
Cate Blanchett,1969-05-14,USA
Rodrigo Santoro,1975-08-22,BRAZIL
Meryl Streep,1949-06-22,USA
Walter Matthau,1920-10-01,USA
Fernanda Torres,1965-09-15,BRAZIL
Marlon Brando,1924-04-03,USA
Anthony Hopkins,1937-12-31,USA
Gisele BÃ¼ndchen,1980-07-20,BRAZIL
Al Pacino,1940-04-25,USA
Sandra Bullock,1964-07-26,USA 
Vin Diesel,1967-07-18,USA 
